Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Turkey,137115,3739,89480,43896,1546,2.73,65.26,4.18,84339067,1626.0,154500,7620,4.93
US,1309550,78795,212534,1018221,25621,6.02,16.23,37.07,330541757,3962.0,1600937,145082,9.06
Uganda,116,0,55,61,15,0.0,47.41,0.0,45741000,3.0,175,154,88.0
Ukraine,14710,376,2909,11425,515,2.56,19.78,12.93,46090701,319.0,20148,2663,13.22
United Arab Emirates,17417,185,4295,12937,624,1.06,24.66,4.31,9890400,1761.0,27892,5278,18.92
United Kingdom,216525,31662,1001,183862,3896,14.62,0.46,3163.04,68395658,3166.0,255544,17063,6.68
Uruguay,702,18,513,171,8,2.56,73.08,3.51,3473727,202.0,753,63,8.37
Uzbekistan,2349,10,1846,493,24,0.43,78.59,0.54,33469199,70.0,3028,440,14.53
Venezuela,402,10,190,202,14,2.49,47.26,5.26,28435943,14.0,944,426,45.13
Vietnam,288,0,241,47,0,0.0,83.68,0.0,97338583,3.0,324,4,1.23
West Bank and Gaza,375,2,228,145,0,0.53,60.8,0.88,4543126,83.0,423,23,5.44
Western Sahara,6,0,5,1,0,0.0,83.33,0.0,597330,10.0,6,3,50.0
Yemen,34,7,1,26,0,20.59,2.94,700.0,29825968,1.0,209,74,35.41
Zambia,252,7,112,133,85,2.78,44.44,6.25,18383956,14.0,920,137,14.89
Zimbabwe,35,4,9,22,1,11.43,25.71,44.44,14862927,2.0,51,98,192.16
